sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
PA;PARCO;A239;17/03/1861;14/04/1930
PA;ALTOFONTE;A239;15/04/1930;
CS;ALTOMONTE;A240;17/03/1861;
LU;ALTOPASCIO;A241;22/04/1881;
PG;ALVIANO;A242;17/03/1861;11/01/1927
TR;ALVIANO;A242;12/01/1927;
CE;ALVIGNANO;A243;17/03/1861;11/01/1927
BN;ALVIGNANO;A243;12/01/1927;31/08/1945
CE;ALVIGNANO;A243;01/09/1945;
CE;ALVITO;A244;31/12/1868;11/01/1927
FR;ALVITO;A244;12/01/1927;
AL;ALZANO;A245;17/03/1861;11/06/1925
AL;"ALZANO SCRIVIA";A245;12/06/1925;18/06/1928
AL;"ALZANO SCRIVIA";A245;18/07/1946;
BG;"ALZANO LOMBARDO";A246;07/06/1927;
BG;"ALZANO MAGGIORE";A247;17/03/1861;06/06/1927
BG;"ALZANO SOPRA";A248;17/03/1861;06/06/1927
CO;"ALZATE CON VERZAGO";A249;11/03/1864;21/09/1919
CO;"ALZATE BRIANZA";A249;22/09/1919;
NO;"ALZATE CON LINDUNO";A250;23/04/1863;13/06/1928
SA;AMALFI;A251;17/03/1861;
AP;AMANDOLA;A252;17/03/1861;11/07/2009
FM;AMANDOLA;A252;12/07/2009;
CS;AMANTEA;A253;17/03/1861;
UD;AMARO;A254;19/11/1866;
CZ;AMARONI;A255;17/03/1861;
RM;AMASENO;A256;08/07/1872;13/04/1927
FR;AMASENO;A256;14/04/1927;
CZ;AMATO;A257;17/03/1861;
AQ;AMATRICE;A258;17/03/1861;11/01/1927
RI;AMATRICE;A258;12/01/1927;
BG;AMBIVERE;A259;17/03/1861;
TN;AMBLAR;A260;16/10/1920;13/02/1923
TN;AMBLAR;A260;14/02/1923;15/06/1928
TN;AMBLAR;A260;20/09/1952;31/12/2015
GE;AMEGLIA;A261;17/03/1861;21/12/1923
SP;AMEGLIA;A261;22/12/1923;
PG;AMELIA;A262;30/06/1876;11/01/1927
TR;AMELIA;A262;12/01/1927;
CS;AMENDOLARA;A263;17/03/1861;
NO;AMENO;A264;17/03/1861;
BN;AMOROSI;A265;17/03/1861;
BL;AMPEZZO;A266;16/10/1920;13/02/1923
BL;AMPEZZO;A266;14/02/1923;26/04/1923
BL;"CORTINA D'AMPEZZO";A266;27/04/1923;
UD;AMPEZZO;A267;19/11/1866;
NA;ANACAPRI;A268;17/03/1861;01/06/1927
NA;ANACAPRI;A268;02/04/1946;
RM;ANAGNI;A269;15/01/1871;11/01/1927
FR;ANAGNI;A269;12/01/1927;
TE;ANCARANO;A270;17/03/1861;
AN;ANCONA;A271;17/03/1861;
CZ;ANDALI;A272;17/03/1861;
SO;ANDALO;A273;17/03/1861;01/06/1928
SO;"ANDALO VALTELLINO";A273;02/06/1928;
TN;ANDALO;A274;16/10/1920;13/02/1923
TN;ANDALO;A274;14/02/1923;12/05/1928
TN;ANDALO;A274;10/01/1947;
TO;ANDEZENO;A275;17/03/1861;
TN;ANDOGNO;A276;16/10/1920;13/02/1923
TN;ANDOGNO;A276;14/02/1923;25/01/1928
CN;ANDONNO;A277;17/03/1861;31/12/1928
GE;ANDORA;A278;17/03/1861;11/01/1927
SV;ANDORA;A278;12/01/1927;
NO;"ANDORNO CACCIORNA";A279;17/03/1861;11/01/1927
VC;"ANDORNO CACCIORNA";A279;12/01/1927;21/05/1929
VC;"ANDORNO MICCA";A280;21/05/1929;15/04/1992
BI;"ANDORNO MICCA";A280;16/04/1992;
LE;ANDRANO;A281;17/03/1861;
TO;ANDRATE;A282;17/03/1861;11/01/1927
AO;ANDRATE;A282;12/01/1927;04/10/1945
TO;ANDRATE;A282;05/10/1945;
UD;ANDREIS;A283;19/11/1866;05/04/1968
PN;ANDREIS;A283;06/04/1968;
AV;ANDRETTA;A284;17/03/1861;
BA;ANDRIA;A285;17/03/1861;26/07/2009
BT;ANDRIA;A285;27/07/2009;
TN;ANDRIANO;A286;16/10/1920;13/02/1923
TN;ANDRIANO;A286;14/02/1923;11/01/1927
BZ;ANDRIANO;A286;12/01/1927;01/01/1929
BZ;ANDRIANO;A286;23/05/1953;
SS;ANELA;A287;17/03/1861;
BS;ANFO;A288;17/03/1861;
BS;ANFURRO;A289;17/03/1861;12/05/1928
CO;ANGERA;A290;17/03/1861;11/01/1927
VA;ANGERA;A290;12/01/1927;
AR;ANGHIARI;A291;17/03/1861;
VR;ANGIARI;A292;19/11/1866;
BS;ANGOLO;A293;17/03/1861;16/07/1963
BS;"ANGOLO TERME";A293;17/07/1963;
SA;ANGRI;A294;17/03/1861;
TO;ANGROGNA;A295;17/03/1861;
PD;"ANGUILLARA VENETA";A296;21/12/1883;
RM;"ANGUILLARA SABAZIA";A297;21/10/1872;
GO;ANHOVO;A298;05/01/1921;07/02/1923
UD;ANHOVO;A298;08/02/1923;26/04/1923
UD;"ANICOVA CORADA";A298;27/04/1923;11/01/1927
GO;"ANICOVA CORADA";A298;12/01/1927;11/05/1928
CR;ANNICCO;A299;17/03/1861;
AL;"CASTELLO DI ANNONE";A300;16/02/1863;07/04/1935
AT;"CASTELLO DI ANNONE";A300;08/04/1935;
CO;"ANNONE DI BRIANZA";A301;23/02/1863;15/04/1992
LC;"ANNONE DI BRIANZA";A301;16/04/1992;
VE;"ANNONE VENETO";A302;05/08/1867;
RC;ANOIA;A303;17/03/1861;
BG;ANTEGNATE;A304;17/03/1861;
TO;"ANTEY SAINT ANDRE";A305;17/03/1861;11/01/1927
AO;"ANTEY SAINT ANDRE";A305;12/01/1927;20/10/1939
AO;"ANTEI SANT'ANDREA";A305;21/10/1939;29/01/1946
AO;"ANTEY SAINT ANDRE";A305;30/01/1946;01/01/1977
AO;ANTEY-SAINT-ANDRE;A305;02/01/1977;
TN;ANTERIVO;A306;16/10/1920;13/02/1923
TN;ANTERIVO;A306;14/02/1923;26/09/1925
TN;ANTERIVO;A306;17/06/1947;13/03/1948
BZ;ANTERIVO;A306;14/03/1948;
TN;ANTERSELVA;A307;16/10/1920;13/02/1923
TN;ANTERSELVA;A307;14/02/1923;11/01/1927
BZ;ANTERSELVA;A307;12/01/1927;17/10/1928
TO;"LA MAGDELEINE";A308;14/08/1883;11/01/1927
AO;"LA MAGDELEINE";A308;12/01/1927;20/10/1939
AO;"LA MADDALENA D'AOSTA";A308;21/10/1939;29/01/1946
AO;"LA MAGDELEINE";A308;30/01/1946;
RM;"ANTICOLI CORRADO";A309;15/01/1871;
RM;"ANTICOLI DI CAMPAGNA";A310;18/10/1872;18/09/1911
RM;FIUGGI;A310;19/09/1911;11/01/1927
FR;FIUGGI;A310;12/01/1927;
