sigla_provincia;denominazione_ita;codice_belfiore;data_inizio_validita;data_fine_validita
SA;"SANTA MARINA";I253;28/02/1946;
ME;"SANTA MARINA SALINA";I254;10/01/1910;
RM;"SANTA MARINELLA";I255;16/10/1949;
CE;"SANT'AMBROGIO SUL GARIGLIANO";I256;06/02/1863;11/01/1927
FR;"SANT'AMBROGIO SUL GARIGLIANO";I256;12/01/1927;
CO;"SANT'AMBROGIO OLONA";I257;23/02/1863;11/01/1927
VA;"SANT'AMBROGIO OLONA";I257;12/01/1927;28/12/1927
TO;"SANT'AMBROGIO DI TORINO";I258;05/01/1863;
VR;"SANT'AMBROGIO DI VALPOLICELLA";I259;26/08/1867;
SA;SANTOMENNA;I260;28/03/1881;
CE;"SAN TAMMARO";I261;17/03/1861;11/01/1927
NA;"SAN TAMMARO";I261;12/01/1927;06/02/1929
CE;"SAN TAMMARO";I261;25/09/1947;
NA;SANT'ANASTASIA;I262;17/03/1861;
PG;"SANT'ANATOLIA DI NARCO";I263;26/04/1895;07/04/1927
PG;"SANT'ANATOLIA DI NARCO";I263;14/09/1930;
AV;"SANT'ANDREA DI CONZA";I264;06/02/1863;
CE;SANT'ANDREA;I265;21/06/1907;11/01/1927
FR;SANT'ANDREA;I265;12/01/1927;07/02/1962
FR;"SANT'ANDREA DEL GARIGLIANO";I265;08/02/1962;
CZ;"SANT'ANDREA APOSTOLO DELLO IONIO";I266;13/07/1863;
GO;SANT'ANDREA;I269;05/01/1921;07/02/1923
UD;SANT'ANDREA;I269;08/02/1923;26/04/1923
UD;"SANT'ANDREA DI GORIZIA";I269;27/04/1923;11/01/1927
GO;"SANT'ANDREA DI GORIZIA";I269;12/01/1927;12/01/1927
CE;"SANT'ANDREA DI VALLEFREDDA";I270;29/12/1862;21/06/1907
CA;"SANT'ANDREA FRIUS";I271;17/03/1861;19/08/1974
CA;"SANT'ANDREA FRIUS";I271;20/08/1974;27/04/2016
SU;"SANT'ANDREA FRIUS";I271;28/04/2016;
TN;"SANT'ANDREA IN MONTE";I272;16/10/1920;13/02/1923
TN;"SANT'ANDREA IN MONTE";I272;14/02/1923;11/01/1927
BZ;"SANT'ANDREA IN MONTE";I272;12/01/1927;07/01/1941
CE;"SANT'ANGELO D'ALIFE";I273;06/02/1863;11/01/1927
BN;"SANT'ANGELO D'ALIFE";I273;12/01/1927;31/08/1945
CE;"SANT'ANGELO D'ALIFE";I273;01/09/1945;
MI;"SANT'ANGELO LODIGIANO";I274;11/03/1864;15/04/1992
LO;"SANT'ANGELO LODIGIANO";I274;16/04/1992;
PD;"SANT'ANGELO DI PIOVE DI SACCO";I275;26/08/1867;
PV;"SANT'ANGELO LOMELLINA";I276;02/02/1864;
BN;"SANT'ANGELO A CUPOLO";I277;25/12/1865;
SA;"SANT'ANGELO A FASANELLA";I278;17/03/1861;
AV;"SANT'ANGELO ALL'ESCA";I279;17/03/1861;
AV;"SANT'ANGELO A SCALA";I280;17/03/1861;
AV;"SANT'ANGELO DEI LOMBARDI";I281;17/03/1861;
CB;"SANT'ANGELO DEL PESCO";I282;17/03/1861;02/03/1970
IS;"SANT'ANGELO DEL PESCO";I282;03/03/1970;
ME;"SANT'ANGELO DI BROLO";I283;17/03/1861;
RM;"SANT'ANGELO ROMANO";I284;12/06/1885;
PU;"SANT'ANGELO IN LIZZOLA";I285;17/03/1861;31/12/2013
MC;"SANT'ANGELO IN PONTANO";I286;17/03/1861;
PU;"SANT'ANGELO IN VADO";I287;17/03/1861;
PZ;"SANT'ANGELO LE FRATTE";I288;17/03/1861;
CB;"SANT'ANGELO LIMOSANO";I289;17/03/1861;12/08/1928
CB;"SANT'ANGELO LIMOSANO";I289;26/04/1933;02/03/1970
CB;"SANT'ANGELO LIMOSANO";I289;03/03/1970;
AG;"SANT'ANGELO MUXARO";I290;17/03/1861;
TP;"SANTA NINFA";I291;17/03/1861;
VR;"SANT'ANNA D'ALFAEDO";I292;24/01/1929;
NA;SANT'ANTIMO;I293;17/03/1861;
CA;SANT'ANTIOCO;I294;17/03/1861;19/08/1974
CA;SANT'ANTIOCO;I294;20/08/1974;31/12/2005
CI;SANT'ANTIOCO;I294;01/01/2006;27/04/2016
SU;SANT'ANTIOCO;I294;28/04/2016;
TO;"SANT'ANTONINO DI SUSA";I296;05/01/1863;
BG;"SANT'ANTONIO D'ADDA";I297;13/07/1863;07/09/1927
CA;"SANT'ANTONIO RUINAS";I298;17/03/1861;14/06/1928
CA;"SANT'ANTONIO RUINAS";I298;12/01/1951;19/08/1974
OR;"SANT'ANTONIO RUINAS";I298;20/08/1974;11/05/1985
OR;"VILLA SANT'ANTONIO";I298;12/05/1985;
PC;"SANT'ANTONIO A TREBBIA";I299;28/11/1862;22/07/1923
NA;"SANT'ANTONIO ABATE";I300;10/07/1925;
AV;"SANTA PAOLINA";I301;17/03/1861;
CE;SANT'APOLLINARE;I302;17/03/1861;11/01/1927
FR;SANT'APOLLINARE;I302;12/01/1927;
RO;"SANT'APOLLINARE CON SELVA";I303;22/07/1867;03/09/1927
FC;"SANT'ARCANGELO DI ROMAGNA";I304;02/02/1864;16/06/1913
FC;"SANTARCANGELO DI ROMAGNA";I304;17/06/1913;15/04/1992
RN;"SANTARCANGELO DI ROMAGNA";I304;16/04/1992;
PZ;SANT'ARCANGELO;I305;17/03/1861;
NA;SANT'ARPINO;I306;17/03/1861;29/05/1928
CE;SANT'ARPINO;I306;26/04/1946;
SA;SANT'ARSENIO;I307;17/03/1861;
CZ;"SANTA SEVERINA";I308;17/03/1861;15/04/1992
KR;"SANTA SEVERINA";I308;16/04/1992;
CS;"SANTA SOFIA D'EPIRO";I309;19/01/1863;
FI;"SANTA SOFIA";I310;17/03/1861;18/03/1923
FC;"SANTA SOFIA";I310;19/03/1923;
ME;"SANTA TERESA DI RIVA";I311;01/04/1864;
SS;"SANTA TERESA GALLURA";I312;22/09/1862;31/12/2005
OT;"SANTA TERESA GALLURA";I312;01/01/2006;27/04/2016
SS;"SANTA TERESA GALLURA";I312;28/04/2016;
CO;"SANTA VALERIA";I313;03/04/1928;01/10/1947
CT;"SANTA VENERINA";I314;07/04/1934;
AP;"SANTA VITTORIA IN MATENANO";I315;24/11/1862;11/07/2009
FM;"SANTA VITTORIA IN MATENANO";I315;12/07/2009;
CN;"SANTA VITTORIA D'ALBA";I316;19/12/1862;
SA;"SANT'EGIDIO DEL MONTE ALBINO";I317;19/01/1863;14/05/1929
SA;"SANT'EGIDIO DEL MONTE ALBINO";I317;26/04/1946;
TE;"SANT'EGIDIO ALLA VIBRATA";I318;13/07/1863;
PD;SANT'ELENA;I319;19/11/1866;
CB;"SANT'ELIA A PIANISI";I320;10/04/1863;02/03/1970
CB;"SANT'ELIA A PIANISI";I320;03/03/1970;
CE;"SANT'ELIA FIUMERAPIDO";I321;29/09/1862;11/01/1927
FR;"SANT'ELIA FIUMERAPIDO";I321;12/01/1927;
CZ;VALLEFIORITA;I322;10/04/1863;
AP;"SANT'ELPIDIO A MARE";I324;17/03/1861;11/07/2009
FM;"SANT'ELPIDIO A MARE";I324;12/07/2009;
AQ;"SANTE MARIE";I326;08/01/1869;
TO;SANTENA;I327;02/08/1878;
ME;"SAN TEODORO";I328;17/03/1861;23/01/1929
ME;"SAN TEODORO";I328;29/08/1940;
NU;"SAN TEODORO";I329;03/05/1959;31/12/2005
OT;"SAN TEODORO";I329;01/01/2006;27/04/2016
SS;"SAN TEODORO";I329;28/04/2016;
BA;"SANTERAMO IN COLLE";I330;19/01/1863;
CH;"SANT'EUFEMIA A MAIELLA";I332;06/02/1863;11/01/1927
PE;"SANT'EUFEMIA A MAIELLA";I332;12/01/1927;
RC;"SANT'EUFEMIA D'ASPROMONTE";I333;17/03/1861;
CZ;"SANT'EUFEMIA LAMEZIA";I334;06/06/1935;27/11/1968
CH;"SANT'EUSANIO DEL SANGRO";I335;06/02/1863;
AQ;"SANT'EUSANIO FORCONESE";I336;06/05/1863;22/05/1929
AQ;"SANT'EUSANIO FORCONESE";I336;03/07/1954;
NO;SANTHIA';I337;17/03/1861;11/01/1927
VC;SANTHIA';I337;12/01/1927;
BS;SANTICOLO;I338;17/03/1861;15/09/1927
CE;"SANTI COSMA E DAMIANO";I339;17/03/1861;11/01/1927
RM;"SANTI COSMA E DAMIANO";I339;12/01/1927;28/10/1928
LT;"SANTI COSMA E DAMIANO";I339;23/05/1947;
GE;"SANT'ILARIO LIGURE";I340;23/04/1863;05/02/1926
RC;"SANT'ILARIO DELLO IONIO";I341;10/04/1863;
RE;"SANT'ILARIO D'ENZA";I342;20/10/1862;
NO;SANTINO;I343;17/03/1861;28/10/1928
PU;SANT'IPPOLITO;I344;17/03/1861;
BL;"ZOLDO ALTO";I345;31/03/1890;22/02/2016
GE;SANT'OLCESE;I346;21/06/1878;
BL;"SAN TOMASO";I347;19/11/1866;08/04/1964
BL;"SAN TOMASO AGORDINO";I347;09/04/1964;
TE;SANT'OMERO;I348;17/03/1861;
BG;"SANT'OMOBONO IMAGNA";I349;03/08/1927;13/08/2004
BG;"SANT'OMOBONO TERME";I349;14/08/2004;03/02/2014
CZ;SANT'ONOFRIO;I350;17/03/1861;15/04/1992
VV;SANT'ONOFRIO;I350;16/04/1992;
CE;SANTOPADRE;I351;17/03/1861;11/01/1927
FR;SANTOPADRE;I351;12/01/1927;
RM;SANT'ORESTE;I352;15/01/1871;29/12/1928
VT;SANT'ORESTE;I352;30/12/1928;20/01/1941
RM;SANT'ORESTE;I352;21/01/1941;
VI;SANTORSO;I353;19/11/1866;
TN;SANT'ORSOLA;I354;16/10/1920;13/02/1923
TN;SANT'ORSOLA;I354;14/02/1923;30/12/1986
TN;"SANT'ORSOLA TERME";I354;31/12/1986;
GO;"BAINSIZZA SANTO SPIRITO";I355;05/01/1921;07/02/1923
UD;"BAINSIZZA SANTO SPIRITO";I355;08/02/1923;26/04/1923
UD;"SANTO SPIRITO DELLA BAINSIZZA";I355;27/04/1923;11/01/1927
GO;"SANTO SPIRITO DELLA BAINSIZZA";I355;12/01/1927;15/08/1928
AG;"SANTO STEFANO QUISQUINA";I356;19/01/1863;
AV;"SANTO STEFANO DEL SOLE";I357;19/01/1863;
BG;"SANTO STEFANO DEL MONTE DEGLI ANGELI";I358;13/07/1863;20/02/1928
CS;"SANTO STEFANO DI ROGLIANO";I359;14/02/1864;20/02/1928
CS;"SANTO STEFANO DI ROGLIANO";I359;18/07/1937;
AQ;"SANTO STEFANO DI SESSANIO";I360;06/05/1863;
MI;"SANTO STEFANO TICINO";I361;01/12/1862;
MI;"SANTO STEFANO AL CORNO";I362;13/04/1863;14/09/1916
MI;"SANTO STEFANO LODIGIANO";I362;15/09/1916;15/04/1992
LO;"SANTO STEFANO LODIGIANO";I362;16/04/1992;
GE;"SANTO STEFANO DI MAGRA";I363;23/04/1863;21/12/1923
SP;"SANTO STEFANO DI MAGRA";I363;22/12/1923;
RM;"VILLA SANTO STEFANO";I364;18/10/1872;11/01/1927
FR;"VILLA SANTO STEFANO";I364;12/01/1927;
IM;"SANTO STEFANO AL MARE";I365;17/03/1861;06/03/1928
IM;"SANTO STEFANO AL MARE";I365;18/09/1954;
CN;"SANTO STEFANO BELBO";I367;17/03/1861;
GE;"SANTO STEFANO D'AVETO";I368;17/03/1861;
ME;"SANTO STEFANO DI BRIGA";I369;17/03/1861;16/04/1928
ME;"SANTO STEFANO DI CAMASTRA";I370;17/03/1861;
RC;"SANTO STEFANO IN ASPROMONTE";I371;17/03/1861;
CN;"SANTO STEFANO ROERO";I372;01/06/1871;
VE;"SAN STINO DI LIVENZA";I373;19/11/1866;
CA;"SANTU LUSSURGIU";I374;17/03/1861;19/08/1974
OR;"SANTU LUSSURGIU";I374;20/08/1974;
PD;SANT'URBANO;I375;19/11/1866;
CH;"SAN VALENTINO IN ABRUZZO CITERIORE";I376;06/02/1863;11/01/1927
PE;"SAN VALENTINO IN ABRUZZO CITERIORE";I376;12/01/1927;
SA;"SAN VALENTINO TORIO";I377;06/02/1863;
TN;"SAN VALENTINO AL BRENNERO";I378;16/10/1920;13/02/1923
TN;"SAN VALENTINO AL BRENNERO";I378;14/02/1923;11/01/1927
BZ;"SAN VALENTINO AL BRENNERO";I378;12/01/1927;14/02/1929
TN;"SAN VALENTINO ALLA MUTA";I379;16/10/1920;13/02/1923
TN;"SAN VALENTINO ALLA MUTA";I379;14/02/1923;26/04/1923
TN;"SAN VALENTINO ALLA MUTTA";I379;27/04/1923;11/01/1927
BZ;"SAN VALENTINO ALLA MUTTA";I379;12/01/1927;15/06/1928
PG;"SAN VENANZO";I381;17/03/1861;11/01/1927
TR;"SAN VENANZO";I381;12/01/1927;
TV;"SAN VENDEMIANO";I382;19/11/1866;
CA;"SAN VERO CONGIUS";I383;17/03/1861;13/03/1928
CA;"SAN VERO MILIS";I384;17/03/1861;19/08/1974
OR;"SAN VERO MILIS";I384;20/08/1974;
BS;"SAN VIGILIO";I385;17/03/1861;04/02/1928
PL;SANVINCENTI;I386;05/01/1921;07/02/1923
PL;SANVINCENTI;I386;08/02/1923;15/09/1947
CB;"SAN VINCENZO AL VOLTURNO";I387;06/02/1863;17/04/1928
CS;"SAN VINCENZO LA COSTA";I388;06/02/1863;11/05/1928
CS;"SAN VINCENZO LA COSTA";I388;18/07/1937;
AQ;"SAN VINCENZO VALLE ROVETO";I389;23/06/1864;
LI;"SAN VINCENZO";I390;04/08/1949;
CE;"SAN VITALIANO";I391;17/03/1861;11/01/1927
NA;"SAN VITALIANO";I391;12/01/1927;
BL;"SAN VITO DI CADORE";I392;02/06/1867;
CZ;"SAN VITO SULLO IONIO";I393;10/04/1863;
CH;"SAN VITO CHIETINO";I394;06/02/1863;
CR;"SAN VITO";I395;17/03/1861;18/12/1862
CR;"SAN VITO E MODESTO";I395;19/12/1862;05/09/1867
LE;"SAN VITO DEI NORMANNI";I396;29/01/1864;11/01/1927
BR;"SAN VITO DEI NORMANNI";I396;12/01/1927;
PG;"SAN VITO IN MONTE";I398;13/04/1863;11/01/1927
TR;"SAN VITO IN MONTE";I398;12/01/1927;04/02/1929
RM;"SAN VITO ROMANO";I400;31/05/1872;
VI;"SAN VITO DI LEGUZZANO";I401;02/09/1867;
CA;"SAN VITO";I402;17/03/1861;19/08/1974
CA;"SAN VITO";I402;20/08/1974;27/04/2016
SU;"SAN VITO";I402;28/04/2016;
UD;"SAN VITO AL TAGLIAMENTO";I403;19/11/1866;05/04/1968
PN;"SAN VITO AL TAGLIAMENTO";I403;06/04/1968;
UD;"SAN VITO AL TORRE";I404;05/01/1921;07/02/1923
UD;"SAN VITO AL TORRE";I404;08/02/1923;05/04/1968
UD;"SAN VITO AL TORRE";I404;06/04/1968;
UD;"SAN VITO DI FAGAGNA";I405;19/11/1866;10/11/1928
UD;"SAN VITO DI FAGAGNA";I405;24/12/1946;05/04/1968
UD;"SAN VITO DI FAGAGNA";I405;06/04/1968;
GO;"SAN VITO DI VIPACCO";I406;05/01/1921;07/02/1923
UD;"SAN VITO DI VIPACCO";I406;08/02/1923;11/01/1927
GO;"SAN VITO DI VIPACCO";I406;12/01/1927;15/09/1947
TP;"SAN VITO LO CAPO";I407;17/08/1952;
CE;"SAN VITTORE DEL LAZIO";I408;24/11/1862;11/01/1927
FR;"SAN VITTORE DEL LAZIO";I408;12/01/1927;
MI;"SAN VITTORE OLONA";I409;01/04/1864;
SA;SANZA;I410;17/03/1861;
TN;SANZENO;I411;16/10/1920;13/02/1923
TN;SANZENO;I411;14/02/1923;
BS;"SAN ZENO NAVIGLIO";I412;21/07/1879;
VR;"SAN ZENO DI MONTAGNA";I414;19/11/1866;
MI;"SAN ZENONE AL LAMBRO";I415;02/08/1870;
PV;"SAN ZENONE AL PO";I416;30/03/1863;
TV;"SAN ZENONE DEGLI EZZELINI";I417;25/11/1867;
PD;SAONARA;I418;19/11/1866;
TN;SAONE;I419;16/10/1920;13/02/1923
TN;SAONE;I419;14/02/1923;23/02/1928
ME;"SAPONARA VILLAFRANCA";I420;10/04/1863;02/06/1929
ME;SAPONARA;I420;14/12/1952;
BL;SAPPADA;I421;19/11/1866;31/12/2017
UD;SAPPADA;I421;01/01/2018;
SA;SAPRI;I422;17/03/1861;
CS;SARACENA;I423;17/03/1861;
RM;SARACINESCO;I424;15/01/1871;
VI;SARCEDO;I425;19/11/1866;
PZ;SARCONI;I426;17/03/1861;23/01/1929
PZ;SARCONI;I426;04/03/1944;
TN;SARDAGNA;I427;16/10/1920;13/02/1923
TN;SARDAGNA;I427;14/02/1923;30/09/1926
CA;SARDARA;I428;17/03/1861;19/08/1974
CA;SARDARA;I428;20/08/1974;31/12/2005
VS;SARDARA;I428;01/01/2006;27/04/2016
SU;SARDARA;I428;28/04/2016;
AL;SARDIGLIANO;I429;17/03/1861;
VI;SAREGO;I430;19/11/1866;
TN;SARENTINO;I431;16/10/1920;13/02/1923
TN;SARENTINO;I431;14/02/1923;11/01/1927
BZ;SARENTINO;I431;12/01/1927;
AL;SAREZZANO;I432;17/03/1861;
BS;SAREZZO;I433;17/03/1861;
PC;SARMATO;I434;17/03/1861;
TV;SARMEDE;I435;19/11/1866;
MC;SARNANO;I436;17/03/1861;
BG;SARNICO;I437;17/03/1861;
SA;SARNO;I438;17/03/1861;
TN;SARNONICO;I439;16/10/1920;13/02/1923
TN;SARNONICO;I439;14/02/1923;06/08/1928
TN;SARNONICO;I439;04/01/1953;
IM;SAROLA;I440;17/03/1861;03/02/1924
MI;SARONNO;I441;15/03/1869;11/01/1927
VA;SARONNO;I441;12/01/1927;
TO;SARRE;I442;17/03/1861;11/01/1927
AO;SARRE;I442;12/01/1927;20/03/1928
AO;SARRE;I442;15/05/1946;
CA;SARROCH;I443;17/03/1861;19/08/1974
CA;SARROCH;I443;20/08/1974;
FC;SARSINA;I444;17/03/1861;
SI;SARTEANO;I445;17/03/1861;
CO;"SARTIRANA BRIANTEA";I446;23/02/1863;23/02/1928
PV;"SARTIRANA LOMELLINA";I447;30/03/1863;
SS;SARULE;I448;17/03/1861;11/01/1927
NU;SARULE;I448;12/01/1927;
GE;SARZANA;I449;17/03/1861;21/12/1923
SP;SARZANA;I449;22/12/1923;
AQ;SASSA;I450;17/03/1861;20/09/1927
SA;SASSANO;I451;17/03/1861;
SS;SASSARI;I452;17/03/1861;
GE;SASSELLO;I453;17/03/1861;11/01/1927
SV;SASSELLO;I453;12/01/1927;
PI;SASSETTA;I454;17/03/1861;29/11/1925
LI;SASSETTA;I454;30/11/1925;
BN;SASSINORO;I455;17/03/1861;
IM;"SASSO DI BORDIGHERA";I456;10/11/1862;03/04/1928
PZ;"SASSO DI CASTALDA";I457;06/02/1863;
TN;SASSO;I458;16/10/1920;13/02/1923
TN;SASSO;I458;14/02/1923;20/02/1929
PU;SASSOCORVARO;I459;17/03/1861;31/12/2018
PU;SASSOFELTRIO;I460;17/03/1861;14/05/1929
PU;SASSOFELTRIO;I460;25/11/1947;16/06/2021
RN;SASSOFELTRIO;I460;17/06/2021;
AN;SASSOFERRATO;I461;17/03/1861;
MO;SASSUOLO;I462;17/03/1861;
CZ;SATRIANO;I463;17/03/1861;
UD;SAURIS;I464;19/11/1866;05/04/1968
UD;SAURIS;I464;06/04/1968;
TO;"SAUZE DI CESANA";I465;09/06/1882;13/12/1928
TO;"SAUZE DI CESANA";I465;25/07/1947;
TO;"SAUZE D'OULX";I466;17/03/1861;03/05/1928
TO;"SAUZE D'OULX";I466;25/07/1947;
LE;SAVA;I467;02/01/1870;21/12/1923
TA;SAVA;I467;22/12/1923;
CZ;SAVELLI;I468;17/03/1861;15/04/1992
KR;SAVELLI;I468;16/04/1992;
CE;SAVIANO;I469;26/08/1867;11/01/1927
NA;SAVIANO;I469;12/01/1927;
CN;SAVIGLIANO;I470;17/03/1861;
AV;"SAVIGNANO DI PUGLIA";I471;24/10/1862;30/07/1963
AV;"SAVIGNANO IRPINO";I471;31/07/1963;
FC;"SAVIGNANO DI ROMAGNA";I472;24/11/1862;04/10/1933
FC;"SAVIGNANO SUL RUBICONE";I472;05/10/1933;
MO;"SAVIGNANO SUL PANARO";I473;29/12/1862;
BO;SAVIGNO;I474;17/03/1861;31/12/2013
GE;SAVIGNONE;I475;30/08/1893;
BS;SAVIORE;I476;17/03/1861;03/11/1927
BS;SAVIORE;I476;05/08/1954;25/12/1957
BS;"SAVIORE DELL'ADAMELLO";I476;26/12/1957;
ME;SAVOCA;I477;17/03/1861;23/01/1929
ME;SAVOCA;I477;26/06/1948;
UD;SAVOGNA;I478;19/11/1866;05/04/1968
UD;SAVOGNA;I478;06/04/1968;
GO;SAVOGNA;I479;05/01/1921;07/02/1923
UD;SAVOGNA;I479;08/02/1923;26/04/1923
UD;"SAVOGNA D'ISONZO";I479;27/04/1923;11/01/1927
GO;"SAVOGNA D'ISONZO";I479;12/01/1927;28/12/1927
GO;"SAVOGNA D'ISONZO";I479;15/02/1951;28/01/2009
GO;"SAVOGNA D'ISONZO-SOVODNJE OB SOCI";I479;29/01/2009;
GE;SAVONA;I480;17/03/1861;11/01/1927
SV;SAVONA;I480;12/01/1927;
TO;SAVOULX;I481;17/03/1861;03/05/1928
PE;SCAFA;I482;21/03/1948;
SA;SCAFATI;I483;17/03/1861;
CN;SCAGNELLO;I484;17/03/1861;28/03/1928
CN;SCAGNELLO;I484;10/01/1947;
CS;"SCALA COELI";I485;10/04/1863;
SA;SCALA;I486;17/03/1861;10/03/1929
SA;SCALA;I486;26/04/1946;
PV;SCALDASOLE;I487;17/03/1861;
TN;SCALE;I488;16/10/1920;13/02/1923
TN;SCALE;I488;14/02/1923;26/04/1923
TN;SCALERES;I488;27/04/1923;11/01/1927
BZ;SCALERES;I488;12/01/1927;07/05/1929
CS;SCALEA;I489;17/03/1861;
TO;SCALENGHE;I490;26/05/1893;
CN;"SCALETTA UZZONE";I491;19/12/1862;23/03/1929
ME;"SCALETTA ZANGLEA";I492;10/04/1863;11/06/1988
ME;"SCALETTA ZANCLEA";I492;12/06/1988;
AV;SCAMPITELLA;I493;28/04/1948;
CZ;SCANDALE;I494;17/03/1861;15/04/1992
KR;SCANDALE;I494;16/04/1992;
AL;SCANDELUZZA;I495;17/03/1861;07/04/1935
AT;SCANDELUZZA;I495;08/04/1935;31/08/1998
RE;SCANDIANO;I496;17/03/1861;
CR;"SCANDOLARA RAVARA";I497;17/03/1861;
CR;"SCANDOLARA RIPA D'OGLIO";I498;17/03/1861;
PG;SCANDRIGLIA;I499;30/08/1875;18/03/1923
RM;SCANDRIGLIA;I499;19/03/1923;11/01/1927
RI;SCANDRIGLIA;I499;12/01/1927;
CR;SCANNABUE;I500;17/03/1861;03/05/1929
AQ;SCANNO;I501;17/03/1861;
BG;"SCANO AL BREMBO";I502;10/08/1863;18/05/1928
CA;"SCANO DI MONTIFERRO";I503;29/09/1862;11/01/1927
NU;"SCANO DI MONTIFERRO";I503;12/01/1927;19/08/1974
OR;"SCANO DI MONTIFERRO";I503;20/08/1974;
GR;SCANSANO;I504;17/03/1861;
BG;SCANZO;I505;17/03/1861;18/08/1927
BG;SCANZOROSCIATE;I506;19/08/1927;
CB;SCAPOLI;I507;17/03/1861;06/03/1928
CB;SCAPOLI;I507;02/04/1946;02/03/1970
IS;SCAPOLI;I507;03/03/1970;
CO;SCARIA;I509;17/03/1861;30/04/1928
GR;SCARLINO;I510;19/07/1960;
TO;SCARMAGNO;I511;17/03/1861;11/01/1927
AO;SCARMAGNO;I511;12/01/1927;15/06/1928
TO;SCARMAGNO;I511;24/12/1946;
CN;SCARNAFIGI;I512;17/03/1861;27/07/1928
CN;SCARNAFIGI;I512;23/05/1947;
CN;SCARNAFIGI-RUFFIA;I513;28/07/1928;23/05/1947
FI;SCARPERIA;I514;17/03/1861;31/12/2013
BS;SCARPIZZOLO;I515;17/03/1861;27/12/1927
TN;SCAVES;I516;16/10/1920;13/02/1923
TN;SCAVES;I516;14/02/1923;26/04/1923
TN;SCIAVES;I516;27/04/1923;11/01/1927
BZ;SCIAVES;I516;12/01/1927;14/02/1929
PU;SCAVOLINO;I517;17/03/1861;14/12/1928
TN;SCELMO;I518;16/10/1920;13/02/1923
TN;SCELMO;I518;14/02/1923;12/03/1928
TN;SCENA;I519;16/10/1920;13/02/1923
TN;SCENA;I519;14/02/1923;11/01/1927
BZ;SCENA;I519;12/01/1927;
CH;SCERNI;I520;17/03/1861;
PG;"SCHEGGIA E PASCELUPO";I522;23/11/1878;
PG;SCHEGGINO;I523;26/04/1895;07/04/1927
PG;SCHEGGINO;I523;14/09/1930;
GO;SCHERBINA;I524;05/01/1921;07/02/1923
UD;SCHERBINA;I524;08/02/1923;11/01/1927
GO;SCHERBINA;I524;12/01/1927;23/08/1928
CO;SCHIANNO;I525;17/03/1861;11/01/1927
VA;SCHIANNO;I525;12/01/1927;30/06/1927
CH;"SCHIAVI DI ABRUZZO";I526;06/02/1863;
VI;SCHIAVON;I527;19/11/1866;
NO;SCHIERANCO;I528;17/03/1861;31/05/1928
CO;SCHIGNANO;I529;17/03/1861;
BG;SCHILPARIO;I530;17/03/1861;
VI;SCHIO;I531;19/11/1866;
MN;SCHIVENOGLIA;I532;19/11/1866;
AG;SCIACCA;I533;17/03/1861;
PA;SCIARA;I534;17/03/1861;
SR;SCICLI;I535;17/03/1861;11/01/1927
RG;SCICLI;I535;12/01/1927;
RC;SCIDO;I536;17/03/1861;
RC;SCILLA;I537;17/03/1861;
PA;SCILLATO;I538;11/04/1961;
TO;SCIOLZE;I539;17/03/1861;
CE;SCISCIANO;I540;17/03/1861;11/01/1927
NA;SCISCIANO;I540;12/01/1927;
PA;SCLAFANI;I541;17/03/1861;02/01/1954
PA;"SCLAFANI BAGNI";I541;03/01/1954;
UD;SCODOVACCA;I542;05/01/1921;07/02/1923
UD;SCODOVACCA;I542;08/02/1923;02/05/1928
AQ;SCONTRONE;I543;17/03/1861;
NO;SCOPA;I544;17/03/1861;11/01/1927
VC;SCOPA;I544;12/01/1927;
NO;SCOPELLO;I545;17/03/1861;11/01/1927
VC;SCOPELLO;I545;12/01/1927;
AQ;SCOPPITO;I546;17/03/1861;
TS;SCOPPO;I547;05/01/1921;07/02/1923
TS;SCOPPO;I547;08/02/1923;19/08/1927
CT;SCORDIA;I548;17/03/1861;
LE;SCORRANO;I549;17/03/1861;
FC;SCORTICATA;I550;17/03/1861;02/09/1938
FC;TORRIANA;I550;03/09/1938;15/04/1992
RN;TORRIANA;I550;16/04/1992;31/12/2013
VE;SCORZE';I551;19/11/1866;
GO;SCRILIE;I552;05/01/1921;07/02/1923
UD;SCRILIE;I552;08/02/1923;26/04/1923
UD;SCRILLA;I552;27/04/1923;11/01/1927
GO;SCRILLA;I552;12/01/1927;12/03/1928
AQ;SCURCOLA;I553;17/03/1861;13/05/1911
AQ;"SCURCOLA MARSICANA";I553;14/05/1911;
TN;SCURELLE;I554;16/10/1920;13/02/1923
TN;SCURELLE;I554;14/02/1923;27/07/1928
TN;SCURELLE;I554;14/01/1947;
AL;SCURZOLENGO;I555;17/03/1861;07/04/1935
AT;SCURZOLENGO;I555;08/04/1935;
IM;SEBORGA;I556;17/03/1861;
GO;SEBREGHE;I557;05/01/1921;07/02/1923
UD;SEBREGHE;I557;08/02/1923;11/01/1927
GO;SEBREGHE;I557;12/01/1927;28/07/1928
AQ;SECINARO;I558;17/03/1861;
LE;SECLI';I559;17/03/1861;06/10/1928
LE;SECLI';I559;24/09/1947;
NA;SECONDIGLIANO;I560;17/03/1861;03/07/1926
MI;SECUGNAGO;I561;17/03/1861;15/04/1992
LO;SECUGNAGO;I561;16/04/1992;
UD;SEDEGLIANO;I562;19/11/1866;05/04/1968
UD;SEDEGLIANO;I562;06/04/1968;
BL;SEDICO;I563;19/11/1866;
CA;SEDILO;I564;17/03/1861;19/08/1974
